   ic    phi          rho         theta         alfa       epsilon         mu           r            b          gamma
  81 1.895656e-01 2.808266e-01 3.316679e-06 4.066170e-08 1.541095e-01 7.493973e-03 8.698138e-02 1.494790e-12 4.971346e-06  
  82 1.866345e-01 2.622823e-01 8.159477e-06 1.877962e-08 1.339785e-01 6.595173e-03 7.491894e-02 2.120015e-12 4.316641e-06  
  83 1.648111e-01 2.396826e-01 6.512241e-06 2.378205e-08 1.377537e-01 6.674495e-03 7.200609e-02 2.152658e-12 5.114035e-06  
  84 1.941393e-01 3.960286e-01 2.766230e-06 5.703962e-08 2.251329e-01 3.019645e-03 5.193243e-02 8.719761e-13 2.854208e-06  
  85 2.903757e-01 3.261187e-01 4.973185e-06 3.110599e-08 9.084321e-02 4.895246e-03 4.519662e-02 7.734771e-13 2.524826e-06  
  86 2.684428e-01 3.032344e-01 6.799564e-06 6.561114e-08 8.012552e-02 4.545217e-03 6.116531e-02 2.225395e-12 2.079663e-06  
  87 2.683554e-01 4.490891e-01 6.819136e-06 4.880233e-08 2.000593e-01 5.761474e-03 7.939020e-02 1.447872e-12 4.632747e-06  
  88 1.356354e-01 3.021582e-01 3.229743e-06 5.545685e-08 2.337566e-01 6.611197e-03 7.388069e-02 1.106783e-12 2.844018e-06  
  89 3.873268e-01 3.977236e-01 3.287478e-06 4.445330e-08 1.136841e-01 4.875517e-03 8.725540e-02 1.593030e-12 1.489173e-06  
  90 3.902263e-01 4.787544e-01 3.634717e-06 4.650509e-08 1.843063e-01 2.498805e-03 5.377620e-02 1.016491e-12 4.757849e-06  
  91 4.028823e-01 4.871459e-01 8.530371e-06 6.376618e-08 1.663849e-01 3.336877e-03 4.685175e-02 1.725903e-12 5.556065e-06  
  92 4.200871e-01 4.403698e-01 6.942032e-06 6.222279e-08 2.052965e-01 7.392786e-03 8.997231e-02 1.311678e-12 5.581625e-06  
  93 2.691886e-01 4.129552e-01 3.056304e-06 4.996277e-08 1.570841e-01 6.350724e-03 6.771290e-02 1.142299e-12 4.573597e-06  
  94 3.546747e-01 3.596788e-01 5.823892e-06 2.005697e-08 1.841286e-01 5.830070e-03 7.660973e-02 2.078328e-12 4.210808e-06  
  95 4.073630e-01 4.736890e-01 7.814964e-06 4.486680e-08 1.967186e-01 5.740550e-03 8.996454e-02 1.591485e-12 5.778339e-06  
  96 2.075423e-01 2.390498e-01 9.011574e-06 2.534185e-08 1.546572e-01 6.528474e-03 6.602380e-02 1.171355e-12 5.509326e-06  
  97 3.994897e-01 5.368853e-01 3.844976e-06 6.227343e-08 1.611282e-01 5.732026e-03 4.989142e-02 1.841529e-12 2.666533e-06  
  98 3.814251e-01 4.260274e-01 9.517660e-06 6.459774e-08 1.290950e-01 4.607474e-03 4.791328e-02 1.539432e-12 2.473632e-06  
  99 3.036450e-01 4.182462e-01 7.049712e-06 6.026517e-08 1.953310e-01 6.826940e-03 6.751170e-02 1.046287e-12 2.473869e-06  
 100 1.388364e-01 1.540657e-01 7.384727e-06 4.223717e-08 1.980789e-01 3.119603e-03 6.436304e-02 1.459982e-12 5.822753e-06  
 101 3.780609e-01 3.833262e-01 3.067503e-06 4.929792e-08 2.011822e-01 7.841404e-03 5.422756e-02 1.240794e-12 5.014132e-06  
 102 3.949854e-01 4.236202e-01 7.071507e-06 2.021448e-08 1.698562e-01 2.239994e-03 5.089694e-02 2.011971e-12 2.067675e-06  
 103 1.728280e-01 2.746757e-01 6.338463e-06 1.812439e-08 1.697487e-01 2.677137e-03 4.568219e-02 1.985334e-12 2.129915e-06  
 104 3.781440e-01 4.377988e-01 3.428675e-06 3.798076e-08 1.482257e-01 3.315280e-03 5.665511e-02 1.174926e-12 3.217461e-06  
 105 1.897200e-01 2.588595e-01 3.996258e-06 4.000491e-08 8.504092e-02 4.368789e-03 4.655640e-02 1.273683e-12 3.173389e-06  
 106 1.325224e-01 2.817925e-01 9.584774e-06 3.836689e-08 1.786426e-01 3.078364e-03 5.503125e-02 1.424784e-12 5.477465e-06  
 107 1.088329e-01 1.647524e-01 9.550788e-06 2.401748e-08 1.094633e-01 2.701019e-03 5.450266e-02 7.980402e-13 2.731161e-06  
 108 3.495260e-01 4.610533e-01 8.543217e-06 5.681646e-08 1.937478e-01 7.732772e-03 6.391966e-02 1.191671e-12 2.113393e-06  
 109 1.867290e-01 2.980465e-01 3.245202e-06 6.908401e-08 1.840287e-01 5.631989e-03 7.425819e-02 1.085363e-12 4.922748e-06  
 110 3.457135e-01 4.226144e-01 8.148428e-06 3.720340e-08 1.338619e-01 6.071091e-03 8.143169e-02 2.100378e-12 2.176654e-06  
 111 1.596700e-01 1.613812e-01 4.402969e-06 3.364099e-08 1.636117e-01 4.908441e-03 6.106796e-02 9.824678e-13 5.204331e-06  
 112 3.358308e-01 3.463025e-01 9.460500e-06 5.299355e-08 6.755123e-02 5.911569e-03 7.534859e-02 1.461959e-12 2.673865e-06  
 113 2.000353e-01 2.735290e-01 8.430876e-06 4.365485e-08 1.434169e-01 5.514832e-03 8.955099e-02 1.113642e-12 4.806716e-06  
 114 3.942449e-01 5.548210e-01 2.873228e-06 6.484556e-08 1.946286e-01 7.406204e-03 8.346688e-02 1.623900e-12 2.999763e-06  
 115 3.457619e-01 4.642349e-01 2.682288e-06 2.407898e-08 1.561599e-01 4.722885e-03 8.501275e-02 5.861101e-13 2.904788e-06  
 116 3.862013e-01 4.601455e-01 6.675684e-06 6.538088e-08 8.663728e-02 2.660639e-03 7.616788e-02 1.010914e-12 1.818752e-06  
 117 3.208850e-01 4.169467e-01 6.935456e-06 6.787976e-08 1.219616e-01 6.317965e-03 4.351962e-02 1.870297e-12 1.646341e-06  
 118 1.831702e-01 3.370113e-01 7.149629e-06 1.808021e-08 2.169825e-01 3.367214e-03 4.578820e-02 1.415857e-12 5.650242e-06  
 119 1.104883e-01 2.550748e-01 5.311379e-06 3.070529e-08 2.374400e-01 4.654464e-03 7.905911e-02 1.023099e-12 5.620033e-06  
 120 3.421069e-01 5.532294e-01 3.092858e-06 4.588902e-08 2.337415e-01 4.894191e-03 6.241451e-02 1.614682e-12 4.846960e-06  
 121 1.261009e-01 2.515895e-01 3.604556e-06 2.840879e-08 1.660818e-01 3.899560e-03 8.284947e-02 1.766888e-12 5.156100e-06  
 122 2.232976e-01 2.866068e-01 4.026335e-06 7.151033e-08 1.385974e-01 5.904646e-03 4.908984e-02 1.553712e-12 5.457097e-06  
 123 1.775048e-01 1.880858e-01 7.433215e-06 2.707569e-08 1.621071e-01 4.183579e-03 5.761048e-02 1.741130e-12 4.540898e-06  
 124 3.144789e-01 3.317598e-01 8.639734e-06 3.983201e-08 1.465808e-01 6.873480e-03 5.227548e-02 1.643840e-12 4.162130e-06  
 125 1.699507e-01 2.579850e-01 5.367795e-06 2.322809e-08 1.188621e-01 2.148448e-03 4.658842e-02 2.030801e-12 2.980679e-06  
 126 1.564242e-01 1.689264e-01 5.365984e-06 2.682888e-08 9.416476e-02 2.925210e-03 4.381882e-02 2.172588e-12 1.585386e-06  
 127 4.078576e-01 4.429971e-01 5.746537e-06 3.533981e-08 1.284125e-01 7.499537e-03 7.696206e-02 2.143565e-12 3.669671e-06  
 128 3.953817e-01 4.191870e-01 4.366904e-06 3.912668e-08 8.927817e-02 4.176766e-03 5.330288e-02 1.627594e-12 2.977317e-06  
 129 1.656267e-01 2.450035e-01 8.588140e-06 5.163389e-08 1.544333e-01 4.947201e-03 8.963283e-02 2.113958e-12 2.276487e-06  
 130 4.180466e-01 4.496016e-01 3.856745e-06 1.964240e-08 8.143800e-02 6.259293e-03 6.899515e-02 1.821753e-12 2.800273e-06  
 131 3.094029e-01 4.300353e-01 2.681327e-06 2.301535e-08 1.707668e-01 7.395118e-03 5.425333e-02 1.056113e-12 3.546846e-06  
 132 3.042887e-01 3.753156e-01 3.089352e-06 6.641010e-08 9.830654e-02 3.520357e-03 7.045473e-02 1.662758e-12 5.431412e-06  
 133 3.953205e-01 5.357301e-01 2.644327e-06 3.194907e-08 1.591544e-01 5.603976e-03 7.152218e-02 1.607666e-12 5.555210e-06  
 134 2.314489e-01 3.074442e-01 3.210415e-06 3.392936e-08 1.126110e-01 2.257899e-03 6.116506e-02 1.737853e-12 5.832265e-06  
 135 3.605873e-01 5.478714e-01 5.746126e-06 7.079012e-08 1.966731e-01 3.428545e-03 5.378545e-02 1.725500e-12 2.012122e-06  
 136 2.962720e-01 3.851015e-01 4.376905e-06 5.571109e-08 1.292311e-01 7.495591e-03 5.199661e-02 2.217121e-12 3.291126e-06  
 137 3.816025e-01 4.664592e-01 3.503208e-06 5.140707e-08 1.534793e-01 3.736074e-03 7.349713e-02 9.847616e-13 2.429436e-06  
 138 4.217781e-01 5.183346e-01 5.420770e-06 5.104808e-08 1.665991e-01 4.934081e-03 5.764398e-02 1.932392e-12 5.918173e-06  
 139 3.112700e-01 4.537039e-01 3.464019e-06 5.912608e-08 1.457792e-01 4.280051e-03 5.924052e-02 9.833634e-13 4.960652e-06  
 140 1.787079e-01 1.869685e-01 8.100766e-06 5.861061e-08 1.524512e-01 5.659930e-03 7.539309e-02 1.735433e-12 4.680246e-06  
 141 1.746141e-01 2.606276e-01 3.928878e-06 2.172058e-08 2.369893e-01 6.081521e-03 9.006918e-02 2.231000e-12 2.619095e-06  
 142 1.719080e-01 2.353393e-01 5.410022e-06 5.476614e-08 1.715019e-01 5.663801e-03 8.812181e-02 1.946892e-12 2.359832e-06  
 143 3.869715e-01 5.288828e-01 6.325669e-06 3.440438e-08 1.994337e-01 2.160990e-03 4.950984e-02 7.980341e-13 5.058651e-06  
 144 3.071739e-01 4.278930e-01 9.092886e-06 6.338167e-08 1.726102e-01 6.076620e-03 5.059761e-02 8.970088e-13 3.566890e-06  
 145 3.776014e-01 4.765047e-01 9.453399e-06 4.367498e-08 1.304343e-01 4.035798e-03 9.023354e-02 1.981620e-12 2.563031e-06  
 146 2.712127e-01 3.166966e-01 2.840548e-06 2.130233e-08 1.887953e-01 6.962318e-03 7.910443e-02 6.509607e-13 3.381985e-06  
 147 1.469904e-01 2.030847e-01 7.891651e-06 4.528010e-08 2.113450e-01 2.179104e-03 8.834542e-02 1.352093e-12 2.661167e-06  
 148 3.544996e-01 4.998717e-01 9.168102e-06 5.818615e-08 2.179644e-01 5.431644e-03 7.844070e-02 1.779106e-12 3.860333e-06  
 149 4.128980e-01 4.622423e-01 9.278728e-06 5.582070e-08 1.715425e-01 7.747367e-03 6.797503e-02 1.686576e-12 4.905492e-06  
 150 3.637266e-01 3.738643e-01 3.877929e-06 4.227094e-08 7.130612e-02 6.300280e-03 9.039084e-02 1.921319e-12 5.187219e-06  
 151 3.022757e-01 3.364802e-01 7.737622e-06 5.314334e-08 2.112409e-01 2.282987e-03 5.965508e-02 8.954234e-13 4.550963e-06  
 152 4.199806e-01 4.473837e-01 9.124189e-06 2.610382e-08 1.610623e-01 3.228612e-03 6.345306e-02 2.044250e-12 2.331888e-06  
 153 4.037051e-01 4.313973e-01 9.103087e-06 4.975829e-08 2.113217e-01 2.164507e-03 7.917980e-02 1.014614e-12 3.458593e-06  
 154 4.097534e-01 5.167762e-01 3.857007e-06 4.975943e-08 2.351673e-01 2.698111e-03 4.699756e-02 1.189347e-12 3.882333e-06  
 155 3.912068e-01 5.084529e-01 8.715325e-06 4.147526e-08 2.196458e-01 7.211842e-03 8.965461e-02 1.988569e-12 4.271179e-06  
 156 3.116704e-01 3.668103e-01 3.101513e-06 2.189139e-08 8.893076e-02 3.159493e-03 5.079612e-02 1.969012e-12 2.512384e-06  
 157 3.696630e-01 4.740613e-01 4.902653e-06 5.123071e-08 1.456487e-01 3.257714e-03 6.437355e-02 1.807317e-12 4.343633e-06  
 158 1.790963e-01 2.843262e-01 4.981235e-06 3.746138e-08 1.166619e-01 7.032177e-03 4.237301e-02 1.952737e-12 2.968658e-06  
 159 1.861539e-01 3.593733e-01 3.791228e-06 6.786201e-08 1.830302e-01 5.419462e-03 4.990976e-02 6.117985e-13 3.959054e-06  
 160 2.547403e-01 3.969520e-01 2.740436e-06 5.626113e-08 2.298688e-01 2.990424e-03 8.630657e-02 1.251243e-12 4.773262e-06  
 161 1.767591e-01 2.961559e-01 4.886068e-06 6.248115e-08 2.195714e-01 7.738378e-03 6.345886e-02 6.567540e-13 4.193272e-06  
 162 2.401842e-01 2.427496e-01 3.506609e-06 5.666662e-08 7.348687e-02 4.442797e-03 8.865357e-02 1.022357e-12 3.769238e-06  
 163 3.864223e-01 4.651103e-01 5.722329e-06 1.953230e-08 2.360741e-01 6.961086e-03 4.567211e-02 8.414135e-13 5.072735e-06  
 164 1.497889e-01 1.987651e-01 7.856742e-06 3.526227e-08 1.623797e-01 6.294037e-03 6.040684e-02 9.748528e-13 4.198540e-06  
 165 2.806396e-01 4.588841e-01 4.355693e-06 2.287460e-08 2.293680e-01 3.323519e-03 7.764410e-02 1.836613e-12 1.526187e-06  
 166 2.250554e-01 2.380409e-01 9.596926e-06 5.024679e-08 1.257229e-01 6.769487e-03 7.686591e-02 1.111667e-12 3.121689e-06  
 167 3.343991e-01 3.582196e-01 9.410764e-06 3.094257e-08 9.786355e-02 6.535818e-03 8.679144e-02 7.859811e-13 2.176142e-06  
 168 2.024420e-01 3.061460e-01 8.279468e-06 4.981879e-08 1.078813e-01 3.178870e-03 5.698088e-02 1.775065e-12 5.209816e-06  
 169 2.967162e-01 4.177319e-01 4.298880e-06 3.183240e-08 2.261485e-01 5.746114e-03 4.937574e-02 1.382322e-12 3.432677e-06  
 170 1.123188e-01 1.585484e-01 6.714345e-06 4.238651e-08 1.933849e-01 6.165751e-03 7.496984e-02 7.397951e-13 3.536940e-06  
 171 3.144819e-01 4.284232e-01 5.233836e-06 6.626520e-08 2.044160e-01 3.040508e-03 8.661606e-02 1.814954e-12 4.107293e-06  
 172 4.147374e-01 4.714790e-01 5.177265e-06 4.783129e-08 2.258832e-01 7.188904e-03 6.654369e-02 1.984344e-12 5.447655e-06  
 173 3.545601e-01 4.248202e-01 7.282681e-06 2.793236e-08 2.229705e-01 3.520958e-03 8.145607e-02 9.597936e-13 3.006155e-06  
 174 1.694119e-01 3.364676e-01 3.593034e-06 3.359966e-08 1.882387e-01 2.408482e-03 7.122949e-02 1.282851e-12 5.324227e-06  
 175 1.825735e-01 3.631384e-01 9.259603e-06 3.523382e-08 2.157103e-01 2.928347e-03 8.959756e-02 1.431559e-12 4.752149e-06  
 176 1.865794e-01 2.445915e-01 4.934088e-06 1.852481e-08 2.302510e-01 6.751685e-03 4.713097e-02 1.848284e-12 4.117586e-06  
 177 1.564405e-01 1.905951e-01 8.345641e-06 5.094742e-08 1.002910e-01 4.243717e-03 6.079877e-02 1.882123e-12 2.471861e-06  
 178 2.610771e-01 2.688851e-01 3.074703e-06 3.576273e-08 2.338656e-01 4.423856e-03 4.639627e-02 1.192577e-12 2.290436e-06  
 179 2.634109e-01 4.045064e-01 6.497239e-06 2.701340e-08 1.672701e-01 3.223994e-03 4.157215e-02 1.521151e-12 5.762968e-06  
 180 2.812256e-01 4.069871e-01 7.466550e-06 6.423561e-08 1.704033e-01 2.060062e-03 7.593504e-02 1.981498e-12 5.158277e-06  
 181 3.154911e-01 4.377579e-01 8.822665e-06 4.919889e-08 1.444285e-01 5.566722e-03 6.965690e-02 1.366776e-12 1.841868e-06  
 182 2.086620e-01 2.687557e-01 5.887190e-06 4.774413e-08 1.619516e-01 2.992197e-03 8.970918e-02 2.115308e-12 3.522859e-06  
 183 2.099186e-01 3.164896e-01 6.508483e-06 4.938488e-08 1.919485e-01 7.124685e-03 5.485526e-02 2.067937e-12 5.304758e-06  
